task_id,user_name,duration_seconds,date,type
manual_cut_13287976539_20260803_104824_00000_task_2,Priya,87.0,2026-08-26,leader_passed
manual_cut_13287976539_20260803_104824_00000_task_0,Priya,18.0,2026-08-26,submitted
manual_cut_13287976539_20260803_104824_00000_task_0,Priya,18.0,2026-08-26,leader_passed
manual_cut_13287976539_20260803_103848_00001_task_9,Priya,20.0,2026-08-26,submitted
manual_cut_13287976539_20260803_103848_00001_task_9,Priya,20.0,2026-08-26,leader_passed
manual_cut_13287976539_20260803_103848_00001_task_8,Priya,12.0,2026-08-26,submitted
manual_cut_13287976539_20260803_103848_00001_task_8,Priya,12.0,2026-08-26,leader_passed
manual_cut_13287976539_20260803_103848_00001_task_7,Priya,15.0,2026-08-26,submitted
manual_cut_13287976539_20260803_103848_00001_task_7,Priya,15.0,2026-08-26,leader_passed
manual_cut_13287976539_20260803_103848_00001_task_5,Priya,18.0,2026-08-26,submitted
manual_cut_13287976539_20260803_103848_00001_task_5,Priya,18.0,2026-08-26,leader_passed
manual_cut_13287976539_20260803_103848_00001_task_4,Priya,40.0,2026-08-26,submitted
manual_cut_13287976539_20260803_103848_00001_task_4,Priya,40.0,2026-08-26,leader_passed
manual_cut_13287976539_20260803_103848_00001_task_2,Priya,30.0,2026-08-26,submitted
manual_cut_13287976539_20260803_103848_00001_task_2,Priya,30.0,2026-08-26,leader_passed
manual_cut_13287976539_20260803_103848_00001_task_12,Priya,12.0,2026-08-26,auditor_passed
manual_cut_13287976539_20260803_103848_00001_task_10,Priya,21.0,2026-08-26,submitted
manual_cut_13287976539_20260803_103848_00001_task_10,Priya,21.0,2026-08-26,leader_passed
manual_cut_13287976539_20260803_103848_00001_task_1,Priya,15.0,2026-08-26,submitted
manual_cut_13287976539_20260803_103848_00001_task_1,Priya,15.0,2026-08-26,leader_passed
manual_cut_13287976539_20260803_103848_00001_task_0,Priya,38.0,2026-08-26,submitted
manual_cut_13287976539_20260803_103848_00001_task_0,Priya,38.0,2026-08-26,leader_passed
manual_cut_13287398199_20260808_103104_00001_task_0,Priya,300.0,2026-08-26,submitted
manual_cut_13287398199_20260808_103104_00001_task_0,Priya,300.0,2026-08-26,leader_passed
manual_cut_13287398199_20260808_100929_00000_task_0,Priya,106.0,2026-08-26,submitted
